"Business.address","Trading.name","Seating_type","Number_of_seats","Census.year","Block.ID","Property.ID","Base.property.ID","Building.address","CLUE.small.area","Industry..ANZSIC4..code","Industry..ANZSIC4..description","Longitude","Latitude","location"
"Ground 362 Little Bourke Street MELBOURNE VIC 3000","+39 Pizzeria & Antipasteria","Indoor",66,2022,64,105873,105873,"362-364 Little Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9617492882,-37.813271637208,"-37.81327163720805, 144.9617492882"
"Shop 5B, 353 Little Collins Street MELBOURNE VIC 3000","11 Inch Pizza","Indoor, Outdoor",18,2022,34,110669,110669,"353-359 Little Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.96299531095,-37.8156982802892,"-37.815698280289155, 144.96299531095"
"127 Pelham Street CARLTON VIC 3053","127 Cafe Go","Outdoor, Indoor",56,2022,255,109366,109366,"127-135 Pelham Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.963945243916,-37.80276992985,"-37.80276992985, 144.96394524391638"
"Suite 1, Pier 35 263-329 Lorimer Street PORT MELBOURNE VIC 3207","14 Days Of Cheese","Indoor, Outdoor",90,2022,785,110535,110535,"263-329 Lorimer Street PORT MELBOURNE VIC 3207","Port Melbourne",4511,"Cafes and Restaurants",144.904228368848,-37.8253639078,"-37.8253639078, 144.90422836884795"
"3 Gower Street KENSINGTON VIC 3031","1565","Indoor",20,2022,523,104380,104380,"3 Gower Street KENSINGTON VIC 3031","Kensington",4512,"Takeaway Food Services",144.93007057945,-37.7947027707619,"-37.794702770761944, 144.93007057945"
"82 River Esplanade DOCKLANDS VIC 3008","18 Pence Lane Coffee & Food","Indoor, Outdoor",60,2022,773,577280,577280,"72-82 Lorimer Street DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.944971324522,-37.8247087611,"-37.8247087611, 144.94497132452153"
"Shop 10, Ground 93-107 Swanston Street MELBOURNE VIC 3000","1932 Cafe & Restaurant","Outdoor, Indoor",38,2022,35,109267,109267,"220-226 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9661030243,-37.8152969077205,"-37.81529690772045, 144.9661030243"
"Part 226 Pelham Street MELBOURNE VIC 3000","226 Sushi","Outdoor",6,2022,239,107547,107547,"226 Pelham Street MELBOURNE VIC 3000","Carlton",4512,"Takeaway Food Services",144.95824364775,-37.8016848073996,"-37.8016848073996, 144.95824364775"
"279 Victoria Street WEST MELBOURNE VIC 3003","279","Outdoor, Indoor",31,2022,424,109699,109699,"279 Victoria Street WEST MELBOURNE VIC 3003","West Melbourne (Residential)",4511,"Cafes and Restaurants",144.95197015405,-37.8056690361242,"-37.80566903612417, 144.95197015405"
"513 Elizabeth Street MELBOURNE VIC 3000","3 Brothersss","Outdoor",36,2022,113,110690,108118,"507-523 Elizabeth Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9576272223,-37.8078325742213,"-37.807832574221266, 144.9576272223"
"4 Centre Place MELBOURNE VIC 3000","3 LT Monkeys","Outdoor, Indoor",12,2022,25,101789,101789,"252-254 Flinders Lane MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.96559654045,-37.816602896192,"-37.81660289619204, 144.96559654045"
"309 Exhibition Street MELBOURNE VIC 3000","65 Degrees Cafe","Indoor, Outdoor",30,2022,87,103613,103613,"309 Exhibition Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.968725571596,-37.80874116145,"-37.80874116145, 144.96872557159605"
"6-12 Miles Street SOUTHBANK VIC 3006","8 Miles Cafe & Convenience","Indoor",30,2022,742,111297,111297,"6-12 Miles Street SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.968021237595,-37.8284344442,"-37.8284344442, 144.96802123759488"
"Part Shop 16, Ground 120 Pearl River Road DOCKLANDS VIC 3008","8 Street Docklands","Indoor",40,2022,1110,620301,620301,"120 Pearl River Road DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.936589267222,-37.811859459,"-37.811859459, 144.93658926722165"
"Shop G3, 163 Franklin Street MELBOURNE VIC 3000","852 Plus Eight Five Two Cafe","Outdoor, Indoor",40,2022,104,104084,104084,"151-165 Franklin Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.95956878425,-37.8090434878174,"-37.809043487817426, 144.95956878425"
"362 Abbotsford Street NORTH MELBOURNE VIC 3051","9 FaceThai Cuisine","Indoor",10,2022,326,104588,104588,"38-48 Haines Street NORTH MELBOURNE VIC 3051","North Melbourne",4512,"Takeaway Food Services",144.946699823682,-37.79823078805,"-37.798230788050006, 144.94669982368217"
"Shop 1A Concourse 700 Bourke Street DOCKLANDS VIC 3008","90 Secondi","Indoor",90,2022,1103,573401,573401,"Bourke Junction 700-704 Bourke Street DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.94936462985,-37.8171450656642,"-37.81714506566416, 144.94936462985"
"Part Ground 45 William Street MELBOURNE VIC 3000","@  Cafe 45","Outdoor, Indoor",45,2022,22,110092,110092,"35-47 William Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.959139539842,-37.81857938465,"-37.81857938464999, 144.95913953984214"
"195 Lonsdale Street MELBOURNE VIC 3000","@T Ease","Indoor, Outdoor",70,2022,66,105687,105687,"195 Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96663043665,-37.8112681648142,"-37.81126816481424, 144.96663043665"
"28 Leicester Street CARLTON VIC 3053","A Cafe Called John","Outdoor, Indoor",80,2022,263,105527,105527,"Journal - Uni Place 16-32 Leicester Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.960507711782,-37.80570166935,"-37.80570166935, 144.96050771178167"
"22 Duckboard Place MELBOURNE VIC 3000","A Hereford Beefstouw","Outdoor, Indoor",149,2022,17,104027,104027,"100-102 Flinders Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.97137050245,-37.8159373579886,"-37.81593735798856, 144.97137050245"
