"","Theme","Sub.Theme","Feature.Name","Co.ordinates","lat","lon","Category"
"1","Place of Worship","Major Sports & Recreation Facility","Melbourne Cricket Ground (MCG)","-37.8118847831837, 144.962422614541",-37.8118847831837,144.962422614541,"Place of Worship"
"2","Place of Worship","Informal Outdoor Facility (Park/Garden/Reserve)","Federation Square","-37.8101281201969, 144.952468571683",-37.8101281201969,144.952468571683,"Place of Worship"
"3","Place of Worship","Art Gallery/Museum","Melbourne Museum","-37.8031663672997, 144.953761537074",-37.8031663672997,144.953761537074,"Place of Worship"
"4","Place of Worship","Art Gallery/Museum","Royal Exhibition Building","-37.8145687802664, 144.96855105335",-37.8145687802664,144.96855105335,"Place of Worship"
"5","Place of Worship","Function/Conference/Exhibition Centre","Melbourne Exhibition Centre","-37.8143851324913, 144.969174036096",-37.8143851324913,144.969174036096,"Place of Worship"
"6","Place of Worship","Retail/Office","DFO South Wharf","-37.8088064667555, 144.978259089269",-37.8088064667555,144.978259089269,"Place of Worship"
"7","Place of Worship","Public Buildings","NGV International","-37.8035538471344, 144.947671538375",-37.8035538471344,144.947671538375,"Place of Worship"
"8","Place of Worship","Informal Outdoor Facility (Park/Garden/Reserve)","Royal Botanic Gardens","-37.8407473645397, 144.98562699348",-37.8407473645397,144.98562699348,"Place of Worship"
"9","Place of Worship","Retail","Queen Victoria Market","-37.809113728917, 144.97422190954",-37.809113728917,144.97422190954,"Place of Worship"
"10","Transport","Function/Conference/Exhibition Centre","Melbourne Convention Centre","-37.8137384362671, 144.91753432375",-37.8137384362671,144.91753432375,"Transport"
"11","Leisure/Recreation","Casino","Crown Entertainment Complex","-37.7840864379557, 144.961967841559",-37.7840864379557,144.961967841559,"Leisure/Recreation"
"12","Education Centre","Public Buildings","Shrine of Remembrance","-37.8020953835112, 144.969406272035",-37.8020953835112,144.969406272035,"Education Centre"
"13","Leisure/Recreation","Aquarium","Melbourne Aquarium","-37.8017690847403, 144.971997551189",-37.8017690847403,144.971997551189,"Leisure/Recreation"
"14","Leisure/Recreation","Observation Tower/Wheel","Eureka Skydeck 88","-37.8255239795833, 144.974107925144",-37.8255239795833,144.974107925144,"Leisure/Recreation"
"15","Education Centre","Railway Station","Flinders Street Railway Station","-37.8342561018747, 144.976285045233",-37.8342561018747,144.976285045233,"Education Centre"
"16","Place Of Assembly","Public Buildings","State Library Victoria","-37.8216684581887, 144.968836241692",-37.8216684581887,144.968836241692,"Place Of Assembly"
"17","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Fitzroy Gardens","-37.7908082646624, 144.912142987372",-37.7908082646624,144.912142987372,"Leisure/Recreation"
